timestep,zone,mean_ps2,n,scenario,mode,rep
28,outer,0.0,3,official_zones,sys1_only,1
29,outer,0.0,3,official_zones,sys1_only,1
30,outer,0.0,3,official_zones,sys1_only,1
31,outer,0.0,2,official_zones,sys1_only,1
32,outer,0.0,1,official_zones,sys1_only,1
34,outer,0.0,1,official_zones,sys1_only,1
38,outer,0.0,1,official_zones,sys1_only,1
39,outer,0.0,1,official_zones,sys1_only,1
42,outer,0.0,1,official_zones,sys1_only,1
44,outer,0.0,1,official_zones,sys1_only,1
45,outer,0.0,1,official_zones,sys1_only,1
46,outer,0.0,1,official_zones,sys1_only,1
47,outer,0.0,1,official_zones,sys1_only,1
48,outer,0.0,1,official_zones,sys1_only,1
49,outer,0.0,1,official_zones,sys1_only,1
50,outer,0.0,1,official_zones,sys1_only,1
51,outer,0.0,1,official_zones,sys1_only,1
52,outer,0.0,1,official_zones,sys1_only,1
58,outer,0.0,1,official_zones,sys1_only,1
59,outer,0.0,1,official_zones,sys1_only,1
60,outer,0.0,1,official_zones,sys1_only,1
61,outer,0.0,1,official_zones,sys1_only,1
62,outer,0.0,1,official_zones,sys1_only,1
63,outer,0.0,1,official_zones,sys1_only,1
68,outer,0.0,1,official_zones,sys1_only,1
0,inner,0.0,29,official_zones,sys1_only,3
1,inner,0.0,25,official_zones,sys1_only,3
2,inner,0.0,16,official_zones,sys1_only,3
3,inner,0.0,12,official_zones,sys1_only,3
4,inner,0.0,8,official_zones,sys1_only,3
5,inner,0.0,7,official_zones,sys1_only,3
6,inner,0.0,4,official_zones,sys1_only,3
7,inner,0.0,5,official_zones,sys1_only,3
8,inner,0.0,6,official_zones,sys1_only,3
9,inner,0.0,6,official_zones,sys1_only,3
10,inner,0.0,4,official_zones,sys1_only,3
11,inner,0.0,3,official_zones,sys1_only,3
12,inner,0.0,6,official_zones,sys1_only,3
13,inner,0.0,4,official_zones,sys1_only,3
14,inner,0.0,5,official_zones,sys1_only,3
15,inner,0.0,7,official_zones,sys1_only,3
16,inner,0.0,6,official_zones,sys1_only,3
17,inner,0.0,7,official_zones,sys1_only,3
18,inner,0.0,7,official_zones,sys1_only,3
19,inner,0.0,5,official_zones,sys1_only,3
20,inner,0.0,5,official_zones,sys1_only,3
21,inner,0.0,4,official_zones,sys1_only,3
22,inner,0.0,5,official_zones,sys1_only,3
23,inner,0.0,6,official_zones,sys1_only,3
24,inner,0.0,6,official_zones,sys1_only,3
25,inner,0.0,6,official_zones,sys1_only,3
26,inner,0.0,6,official_zones,sys1_only,3
27,inner,0.0,6,official_zones,sys1_only,3
28,inner,0.0,6,official_zones,sys1_only,3
29,inner,0.0,5,official_zones,sys1_only,3
30,inner,0.0,3,official_zones,sys1_only,3
31,inner,0.0,5,official_zones,sys1_only,3
32,inner,0.0,7,official_zones,sys1_only,3
33,inner,0.0,6,official_zones,sys1_only,3
34,inner,0.0,6,official_zones,sys1_only,3
35,inner,0.0,5,official_zones,sys1_only,3
36,inner,0.0,3,official_zones,sys1_only,3
37,inner,0.0,2,official_zones,sys1_only,3
38,inner,0.0,2,official_zones,sys1_only,3
39,inner,0.0,5,official_zones,sys1_only,3
40,inner,0.0,3,official_zones,sys1_only,3
41,inner,0.0,5,official_zones,sys1_only,3
42,inner,0.0,5,official_zones,sys1_only,3
43,inner,0.0,6,official_zones,sys1_only,3
44,inner,0.0,4,official_zones,sys1_only,3
45,inner,0.0,3,official_zones,sys1_only,3
46,inner,0.0,3,official_zones,sys1_only,3
47,inner,0.0,3,official_zones,sys1_only,3
48,inner,0.0,4,official_zones,sys1_only,3
