kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
25.0,7,0.2959957906417936,0.10958404726735294,0.00034274687518283587
25.0,8,0.3135530031477535,0.11463608408136083,3.2662246810333835e-05
25.0,9,0.3410955239028053,0.10238618891229656,0.0007510643887685161
26.0,0,0.31039989140712376,0.11332748337128348,3.553800280211264e-05
26.0,1,0.34378645835517774,0.08642653778267362,0.0013672578394666214
26.0,2,0.3408124439284899,0.10746663493224363,0.0006946959139209413
26.0,3,0.3045378884206139,0.13390732825801863,0.0007196186680728316
26.0,4,0.33144760043549304,0.10440366494577634,0.000308347456451809
26.0,5,0.333913038993562,0.1112605422152903,0.00038197613407266846
26.0,6,0.31803128932453284,0.1070486456897941,1.6277787937518753e-05
26.0,7,0.35941522715206214,0.07918342136308061,0.002906405991732938
26.0,8,0.32076335093167857,0.11434317397184458,6.777907298675622e-05
26.0,9,0.3371179453600691,0.11661039084811994,0.0005694895011722198
27.0,0,0.30884570433646075,0.10343687831936213,6.291938228430194e-05
27.0,1,0.28108341513282664,0.1109773310538087,0.0011205779822813559
27.0,2,0.3087531477673078,0.11534166275238887,7.324299704943599e-05
27.0,3,0.31336340319588735,0.09717880653469736,0.00014103246723923287
27.0,4,0.34145757364181684,0.09672830793005505,0.0008773052029135277
27.0,5,0.3159062309709357,0.11315290909094093,1.922413946123852e-05
27.0,6,0.32873460524647646,0.10346043169081375,0.00023331080357515588
27.0,7,0.30971062755093726,0.10461443927650496,4.217123131530361e-05
27.0,8,0.33197897090346107,0.10745538905845939,0.00030790024680476554
27.0,9,0.3137374006510215,0.1071340814285849,4.0632098822141955e-06
28.0,0,0.30737920990070144,0.10693859178007939,5.495505548742462e-05
28.0,1,0.2971960665896886,0.10576176708242364,0.0003099122638969658
28.0,2,0.32119152309753174,0.11129831225208009,5.0058720572862196e-05
28.0,3,0.2869315074757232,0.11204298169828399,0.0007692815176771965
28.0,4,0.31346810731867814,0.0920433868462248,0.0002885915321525476
28.0,5,0.3452694079248837,0.09792392120995427,0.0010694359854111963
28.0,6,0.31083803790406006,0.12143070568814433,0.00016793241029736472
28.0,7,0.32818585459261673,0.10902171319233668,0.00018730308739296991
28.0,8,0.3004806956396111,0.11347046987972328,0.00021652599569473222
28.0,9,0.3097472702317915,0.11257426125394557,3.5363783761071844e-05
29.0,0,0.30618358084072567,0.11353092130711251,8.969207552399138e-05
29.0,1,0.32895963654568666,0.1124730827294562,0.00022114339267900423
29.0,2,0.34317482866803867,0.09388271662768134,0.0010507780557003543
29.0,3,0.3437448612169003,0.09939090721935168,0.0009475965716628662
29.0,4,0.3120759562809413,0.11072295802607693,8.844572311530785e-06
29.0,5,0.30772214329687103,0.11130108749781921,5.123434516077019e-05
29.0,6,0.3165382256520824,0.09634458698126092,0.0001643138424836774
29.0,7,0.2892614064666643,0.12037788428139459,0.0007664428542617401
29.0,8,0.3243388813001071,0.10814489342754428,9.753479248785358e-05
29.0,9,0.3206666419320732,0.11899293340116045,0.0001378861906784319
30.0,0,0.3625135282114244,0.0778629561939821,0.0032748143882871247
30.0,1,0.31969335190505555,0.11459571755224573,5.828295893425505e-05
30.0,2,0.3184494402406789,0.11362600862764341,3.699803403772501e-05
30.0,3,0.3297559943403855,0.11468554024854963,0.00026507073123175197
30.0,4,0.32177975396579916,0.10548814979179501,6.532790968743808e-05
30.0,5,0.3141878146849252,0.09762201041016749,0.00012955610677728527
30.0,6,0.2994120643756947,0.11034145637526388,0.00022944530660991787
30.0,7,0.32558169304057705,0.11034509567215448,0.0001246132030128224
30.0,8,0.3084398765163813,0.10874013274395469,3.679262762747172e-05
30.0,9,0.3167281409843889,0.10419045607977273,2.8096324966908594e-05
31.0,0,0.35452992741631945,0.07071864808441071,0.003067856993440995
31.0,1,0.3083459615510195,0.10008826177602932,0.00011729126740411027
31.0,2,0.3171025520897157,0.1151825787646386,4.499755756064375e-05
31.0,3,0.3115178152823096,0.11708146189042838,7.42034519768725e-05
