cmc,alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.2,1.25,2.1666666666666665,18.75,2,0.27307927646134006,0.09721484003862135,0.0018545663337813801
0.2,1.25,2.1666666666666665,18.75,3,0.2734672888750135,0.08717802324918307,0.002159882051579787
0.2,1.25,2.1666666666666665,18.75,4,0.26230906063137277,0.09407254609442149,0.0029467230322828947
0.2,1.25,2.1666666666666665,18.75,5,0.27769336385110177,0.09764828188355024,0.0014835899687927158
0.2,1.25,2.1666666666666665,18.75,6,0.2586252721422686,0.0845560130041915,0.0037194937134268006
0.2,1.25,2.347222222222222,11.25,0,0.27138447180945074,0.09198885696835891,0.002148327758392999
0.2,1.25,2.347222222222222,11.25,1,0.27773510076929764,0.0835252981685263,0.002000618248846189
0.2,1.25,2.347222222222222,11.25,2,0.27590608360113306,0.09125225109027792,0.0018044729743652722
0.2,1.25,2.347222222222222,11.25,3,0.2601170101093668,0.08848246348250736,0.0033784788941913597
0.2,1.25,2.347222222222222,11.25,4,0.2677247702848522,0.08420940824289799,0.0028024955545721403
0.2,1.25,2.347222222222222,11.25,5,0.2755784680689166,0.08403525510998852,0.002138124135285698
0.2,1.25,2.347222222222222,11.25,6,0.27867989860106046,0.08865034138324208,0.0016971882700489
0.2,1.25,2.347222222222222,12.5,0,0.2667784149152514,0.08597329435802764,0.0028075788557229424
0.2,1.25,2.347222222222222,12.5,1,0.26877218206485903,0.09370092689733832,0.002325094970909986
0.2,1.25,2.347222222222222,12.5,2,0.27342835256889586,0.09136931682374506,0.0019977212119664024
0.2,1.25,2.347222222222222,12.5,3,0.2615195419191094,0.0872231519128414,0.0032811600510721873
0.2,1.25,2.347222222222222,12.5,4,0.2988343992359819,0.08513489675579135,0.0008149542001543436
0.2,1.25,2.347222222222222,12.5,5,0.26848084834976266,0.09107203578747575,0.0024391742194130924
0.2,1.25,2.347222222222222,12.5,6,0.2714903724546947,0.08485253726575905,0.0024329280180874395
0.2,1.25,2.347222222222222,13.75,0,0.2657545276461154,0.09280039828768843,0.0026385481706408557
0.2,1.25,2.347222222222222,13.75,1,0.31557491135007854,0.05940027608839779,0.0024612880465176915
0.2,1.25,2.347222222222222,13.75,2,0.27199156501665894,0.08946217423487024,0.002188693680361502
0.2,1.25,2.347222222222222,13.75,3,0.26769086641240847,0.09321763864540362,0.002440177917148047
0.2,1.25,2.347222222222222,13.75,4,0.27575359530254195,0.08224464930518535,0.0022171326677817176
0.2,1.25,2.347222222222222,13.75,5,0.26393043778277164,0.08451908945498936,0.0031565956039549432
0.2,1.25,2.347222222222222,13.75,6,0.2842463724084306,0.08207544731843323,0.001640213519551834
0.2,1.25,2.347222222222222,15.0,0,0.26255936338922514,0.08637073587046715,0.003209913326576728
0.2,1.25,2.347222222222222,15.0,1,0.263513933014857,0.08509062736727685,0.0031712371263039017
0.2,1.25,2.347222222222222,15.0,2,0.2779139298295953,0.08076064472295996,0.0021360017169766666
0.2,1.25,2.347222222222222,15.0,3,0.2828700311706582,0.0861854697083642,0.0015209577205731028
0.2,1.25,2.347222222222222,15.0,4,0.27368113896524227,0.08074581365220865,0.0024644784623505827
0.2,1.25,2.347222222222222,15.0,5,0.2654567431286432,0.08879864450025017,0.002813335808577159
0.2,1.25,2.347222222222222,15.0,6,0.27454292459394714,0.09312244100423277,0.0018486647546690636
0.2,1.25,2.347222222222222,16.25,0,0.2868811932150103,0.08297343431568105,0.0014401806095467608
0.2,1.25,2.347222222222222,16.25,1,0.286051309441412,0.09107754414820886,0.001130542418257697
0.2,1.25,2.347222222222222,16.25,2,0.27075359907090873,0.08432093221258112,0.0025228039811048134
0.2,1.25,2.347222222222222,16.25,3,0.2845447442769531,0.09180026748136116,0.0011931481441458571
0.2,1.25,2.347222222222222,16.25,4,0.2778515761442555,0.09031974408167372,0.0016920589322844677
0.2,1.25,2.347222222222222,16.25,5,0.25766342334898423,0.0837585305637012,0.0038675282247103977
0.2,1.25,2.347222222222222,16.25,6,0.2831356347339786,0.08239704221997562,0.0016914407711861677
