#time,x,y,location_type
-22,-0.33770384263338443,51.58902158196328,house
-22,-0.33329968125793863,51.61008686691121,house
-22,-0.3723634332473027,51.56958495193486,house
-22,-0.3880974397092604,51.584418429093674,house
-22,-0.3208325924234003,51.59093147004068,house
-22,-0.32868818108570963,51.56715866142739,house
-22,-0.3552291910908752,51.6071651502404,house
-22,-0.32116365339344005,51.6101536115726,house
-22,-0.3230023927329511,51.582323317955684,house
-16,-0.3240209615255386,51.55434404008809,house
-16,-0.38334768841655026,51.60258262077169,house
-16,-0.366943601708811,51.57181880868042,house
-16,-0.3626261126081388,51.57789745996683,house
-16,-0.3218044549382925,51.62095971208942,house
-16,-0.3789426656064121,51.564294425817714,house
-16,-0.3753014281309824,51.56811301241815,house
-16,-0.37400950832683966,51.581851013680456,house
-16,-0.2695317657652116,51.60142479025844,house
-16,-0.3762368047380931,51.56235851728945,house
-16,-0.2867475124937384,51.61020943408596,house
-16,-0.35447847708170266,51.5621646502796,house
-16,-0.3651917708674015,51.59463769297736,house
-16,-0.31286537462599456,51.60129018921765,house
-16,-0.29794935934776456,51.59057991884948,house
-16,-0.36389671852049715,51.56495411964061,house
-16,-0.35102104379080046,51.583993430621625,house
-16,-0.300478998250583,51.587722483897714,house
-16,-0.32439848858483333,51.59053949836486,house
-16,-0.33209390044038234,51.57765873158893,house
-16,-0.3506012301232339,51.59365036682471,house
-16,-0.40244839182626757,51.59882383905547,house
-16,-0.3753213762546321,51.57354670438048,house
-16,-0.3643719424136929,51.57200959129329,house
-16,-0.3851103471431143,51.60435910598421,house
-16,-0.33196478046075434,51.61254060968822,house
-16,-0.2832779162595003,51.61257119843625,house
-16,-0.3017131964242611,51.58923895149152,house
-16,-0.3978320159651483,51.59753495255617,house
