Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
65,1199,255,3.70196078431,6,22042,0.999727792396,981,41398,0.976303203053,7,1110,0.993693693694,0,713,1.0,7508,63690,0.882116501806,17,453,0.962472406181,1087,2296,0.526567944251,18578,45136,0.588399503722,7266,12412,0.414598775379,3951,9561,0.586758707248,1.4810839767983153,199066,108268,108268,40600,0
66,1202,259,3.64092664093,6,22381,0.999731915464,1029,41412,0.975152129817,8,1127,0.992901508429,0,724,1.0,7745,64159,0.879284278122,18,461,0.960954446855,1124,2236,0.497316636852,18950,45831,0.586524404879,7429,12494,0.405394589403,4041,9790,0.587231869254,1.464515425705876,200874,110076,110076,41552,0
67,1205,263,3.58174904943,7,22720,0.999691901408,1071,41426,0.974146671173,9,1144,0.992132867133,0,735,1.0,7986,64467,0.876122667411,19,636,0.970125786164,1158,2236,0.482110912343,19302,46525,0.585126276196,7603,12576,0.395435750636,4119,10019,0.588881125861,1.4484452741873532,202747,111949,111949,42479,0
68,1207,267,3.52059925094,8,23059,0.99965306388,1122,41448,0.972929936306,11,1161,0.99052540913,0,746,1.0,8236,64836,0.872971805787,22,811,0.972872996301,1194,2236,0.466010733453,19695,47220,0.58290978399,7764,12658,0.386632959393,4203,10248,0.589871194379,1.4321286833140168,204690,113892,113892,43462,0
69,1208,271,3.45756457565,10,23398,0.999572613044,1169,41471,0.971811627402,13,1178,0.98896434635,0,757,1.0,8499,64969,0.869183764565,24,985,0.975634517766,1236,2236,0.447227191413,20042,47914,0.581708895104,7944,12739,0.376403171364,4298,10477,0.589768063377,1.4172167097762052,206395,115597,115597,44443,0
70,1212,275,3.40727272727,10,23737,0.999578716771,1210,41494,0.970839157469,16,1196,0.986622073579,0,768,1.0,8770,65335,0.86576873039,27,1160,0.976724137931,1271,2236,0.431574239714,20430,48608,0.57969881501,8106,12821,0.367756025271,4383,10707,0.590641636313,1.4018836301142599,208337,117539,117539,45435,0
71,1216,279,3.35842293907,11,24076,0.999543113474,1250,41516,0.969891126313,17,1213,0.985985160758,0,779,1.0,9057,65624,0.861986468365,30,1263,0.976247030879,1305,2236,0.416368515206,20828,49303,0.577551061802,8301,12903,0.356661241572,4459,10936,0.592264081931,1.3871448923154277,210128,119330,119330,46474,0
72,1216,283,3.29681978799,13,24416,0.999467562254,1301,41539,0.968680035629,17,1230,0.986178861789,0,790,1.0,9299,65811,0.858701432891,33,1366,0.975841874085,1348,2236,0.397137745975,21196,49997,0.576054563274,8452,12985,0.349095109742,4548,11165,0.592655620242,1.3738307717732605,211818,121020,121020,47423,0
73,1217,286,3.25524475524,14,24755,0.999434457685,1350,41561,0.967517624696,17,1247,0.986367281476,0,801,1.0,9556,66094,0.855418040972,36,1469,0.975493533016,1380,2236,0.38282647585,21526,50692,0.575357058313,8637,13066,0.338971376091,4645,11394,0.592329296121,1.3605937965684878,213601,122803,122803,48378,0
74,1222,290,3.21379310345,16,25094,0.999362397386,1397,41584,0.966405348211,17,1264,0.986550632911,0,812,1.0,9833,66369,0.851843481143,40,1572,0.974554707379,1406,2236,0.371198568873,21918,51386,0.573463589304,8813,13148,0.329707940371,4735,11623,0.592618084832,1.3472868839300047,215378,124580,124580,49397,0
